Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
2007-06-08/06:39:26          6.2829        -0.0864        30.1438        30.7917      -109.0713       100.8234       -28.8343       151.3054        31.4936       117.4955
2007-06-08/06:39:29          6.9281        -6.4421        28.7877        30.3023      -121.2211       119.0283       -19.2683       170.9782        32.3910       119.8858
2007-06-08/06:39:32          7.6089        -7.1747        30.4048        32.1531      -119.8027       102.9867       -23.9159       159.7840        32.3125       117.8779
2007-06-08/06:39:35          7.9184        -5.8786        28.6895        30.3372      -123.4704       103.6219       -18.4990       162.2487        32.3377       118.8528
2007-06-08/06:39:38          5.6156        -1.3117        28.7063        29.2798      -114.6239       105.0014       -23.3244       157.1877        36.8810       109.7909
2007-06-08/06:39:41          3.8982        -3.3001        27.6958        28.1628      -111.7783       114.0807       -23.6911       161.4623        35.6324       116.7787
2007-06-08/06:39:44          6.6696        -3.1952        29.3119        30.2304      -121.1940       114.2903       -24.5794       168.3876        34.8597       117.7976
2007-06-08/06:39:47          4.9968        -3.1283        29.5315        30.1142      -116.3750       109.4094       -24.1450       161.5442        34.2901       114.8058
2007-06-08/06:39:50          7.1666        -2.6320        30.5263        31.4665      -126.5873       110.4572       -19.5871       169.1413        31.2174       126.5812
2007-06-08/06:39:53          8.7702        -6.1181        29.1129        31.0147      -120.8534       106.1413       -19.7693       162.0566        31.6088       127.1224
2007-06-08/06:39:56          4.4640        -2.7375        34.3706        34.7673      -118.9472        96.8621       -19.4709       154.6280        29.3670       124.8533
2007-06-08/06:39:59          6.1377        -5.9092        31.8734        32.9925      -119.4006       112.9210       -19.3351       165.4735        31.6432       125.3089
2007-06-08/06:40:02          5.9172        -3.6341        30.9485        31.7180      -126.4580       118.4122       -14.8586       173.8788        30.3113       122.4770
2007-06-08/06:40:05          7.1829        -3.8258        30.1679        31.2463      -127.1637       112.3780       -18.3681       170.6950        32.6294       130.1939
