Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          655.71204          7.0634        -8.3084         9.5350        14.4858      -518.9270       172.1292       140.7314       564.6038         3.3701       181.1007
          658.71989          4.7631        -4.9007        12.5101        14.2551      -523.8376       184.1661       116.4191       567.8206         4.0657       165.9239
          661.72774          1.9711        -3.4614        14.6512        15.1830      -510.4174       178.9413        82.5164       547.2144         4.2158       152.6653
          664.73560          1.4754        -3.2194        14.6344        15.0568      -493.3009       160.9517        76.9484       524.5775         4.1884       153.9073
          667.74345          1.2557        -3.0884        15.1208        15.4840      -488.0720       153.9388        81.6350       518.2707         4.5256       144.8163
          670.75130          0.6066        -4.1968        15.2462        15.8249      -490.5304       149.2706        78.4675       518.7722         4.4770       148.5734
          673.75916          0.0726        -3.4775        15.1518        15.5459      -482.0713       147.1890        64.8616       508.2059         4.1332       167.3647
          676.76701         -1.0791        -3.2460        15.4839        15.8573      -469.4190       143.9612        61.8271       494.8854         4.1182       169.5666
          679.77486         -1.0537        -3.0401        15.6925        16.0190      -466.6244       143.6105        63.6886       492.3652         4.1126       166.5413
          682.78272         -1.0012        -3.2589        15.6689        16.0355      -467.5713       141.6090        61.4909       492.3996         4.2350       168.0455
          685.79057         -0.7073        -3.0147        15.9914        16.2885      -469.3834       140.2542        60.1656       493.5755         4.2360       169.3413
          688.79842         -0.5801        -3.8237        15.8643        16.3290      -469.8164       137.1546        60.5833       493.1696         4.3409       167.2716
